IDNumber,AgeInMonths,agestrat,Gender,ParentHighestEducation,Ethnicity,Region,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw,TOT_NT,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT
178002,5,4-6 mo,Female,Some college or associate degree,White,south,78,16,17,11,13,10,13,14,10,35,50,39,35,44,43,43,47,34
212001,5,4-6 mo,Female,Bachelor's degree or higher,Hispanic,west,104,14,21,16,19,10,21,17,23,62,46,50,55,64,43,68,57,53
224023,4,4-6 mo,Female,Some college or associate degree,Hispanic,northeast,101,20,25,21,15,10,15,15,24,59,60,60,68,53,43,53,51,54
209046,6,4-6 mo,Female,Bachelor's degree or higher,White,south,100,19,20,18,16,11,19,16,15,58,57,48,59,57,53,65,54,43
209047,4,4-6 mo,Female,Bachelor's degree or higher,White,south,98,11,23,14,16,14,15,16,21,56,36,55,47,57,63,53,54,50
189002,6,4-6 mo,Male,Bachelor's degree or higher,White,south,81,19,17,13,15,10,12,14,13,39,57,39,43,53,43,37,47,41
214022,4,4-6 mo,Female,Bachelor's degree or higher,White,south,92,21,23,14,17,10,13,15,16,52,62,55,47,60,43,43,51,44
214023,4,4-6 mo,Female,Some college or associate degree,White,south,90,13,25,14,14,10,12,15,10,50,44,60,47,48,43,37,51,34
119088,6,4-6 mo,Male,Bachelor's degree or higher,White,south,80,12,20,12,13,10,14,11,16,37,40,48,39,44,43,48,35,44
216050,4,4-6 mo,Male,Bachelor's degree or higher,White,midwest,87,17,18,13,14,16,12,14,30,46,53,42,43,48,67,37,47,65
236011,4,4-6 mo,Female,Bachelor's degree or higher,White,west,111,23,26,20,19,10,17,19,29,66,65,63,64,64,43,58,64,63
209051,6,4-6 mo,Male,Bachelor's degree or higher,White,south,84,12,19,12,15,11,15,12,21,42,40,44,39,53,53,53,40,50
216066,5,4-6 mo,Female,Bachelor's degree or higher,White,midwest,83,21,16,14,14,10,13,16,20,40,62,37,47,48,43,43,54,49
224014,5,4-6 mo,Male,Bachelor's degree or higher,White,northeast,84,13,22,18,10,10,13,11,12,42,44,52,59,32,43,43,35,39
230030,4,4-6 mo,Male,Bachelor's degree or higher,White,midwest,93,19,23,17,13,10,15,15,23,53,57,55,58,44,43,53,51,53
219020,4,4-6 mo,Female,Bachelor's degree or higher,White,south,93,19,19,20,14,10,15,15,28,53,57,44,64,48,43,53,51,60
212034,5,4-6 mo,Female,Bachelor's degree or higher,Asian,west,93,18,25,16,15,11,14,12,29,53,55,60,55,53,53,48,40,63
119089,5,4-6 mo,Female,Bachelor's degree or higher,Hispanic,south,62,18,12,10,10,10,10,10,10,27,55,31,30,32,43,29,30,34
141221,5,4-6 mo,Male,Bachelor's degree or higher,White,south,83,15,17,13,12,10,18,13,23,40,48,39,43,40,43,61,44,53
141223,4,4-6 mo,Male,Bachelor's degree or higher,White,south,97,17,28,15,12,12,15,15,26,56,53,67,51,40,58,53,51,57
141231,4,4-6 mo,Female,Some college or associate degree,White,south,87,13,20,16,13,10,15,13,26,46,44,48,55,44,43,53,44,57
141218,5,4-6 mo,Female,Some college or associate degree,White,south,96,16,24,15,15,10,16,16,17,55,50,57,51,53,43,56,54,46
141233,4,4-6 mo,Female,Some college or associate degree,Hispanic,south,99,24,22,19,15,11,13,19,31,57,67,52,61,53,53,43,64,68
141230,6,4-6 mo,Female,Bachelor's degree or higher,White,south,97,19,23,15,16,11,15,17,26,56,57,55,51,57,53,53,57,57
141232,4,4-6 mo,Male,Bachelor's degree or higher,White,south,92,17,19,13,15,12,17,16,24,52,53,44,43,53,58,58,54,54
141242,5,4-6 mo,Female,Some college or associate degree,White,south,88,13,21,13,14,10,15,15,27,48,44,50,43,48,43,53,51,58
141245,6,4-6 mo,Female,Bachelor's degree or higher,White,south,80,17,15,14,14,11,14,12,17,37,53,35,47,48,53,48,40,46
141226,5,4-6 mo,Male,Bachelor's degree or higher,White,south,96,10,33,12,13,11,14,13,34,55,30,71,39,44,53,48,44,71
250068,4,4-6 mo,Male,Bachelor's degree or higher,White,south,85,20,17,20,12,10,13,13,13,43,60,39,64,40,43,43,44,41
275003,6,4-6 mo,Female,High school graduate (including GED),White,northeast,80,16,14,12,12,10,18,14,16,37,50,34,39,40,43,61,47,44
119091,4,4-6 mo,Male,Some college or associate degree,Black,south,73,14,16,12,10,11,12,12,10,34,46,37,39,32,53,37,40,34
275027,6,4-6 mo,Male,High school graduate (including GED),Hispanic,northeast,90,15,19,13,12,11,18,17,21,50,48,44,43,40,53,61,57,50
292007,6,4-6 mo,Male,Did not complete high school (no diploma),Black,south,106,25,24,21,14,11,18,18,30,63,69,57,68,48,53,61,61,65
298050,6,4-6 mo,Female,Some college or associate degree,Black,south,110,16,20,20,21,12,18,19,11,65,50,48,64,67,58,61,64,38
309002,5,4-6 mo,Female,High school graduate (including GED),Hispanic,west,90,14,22,15,15,11,14,13,29,50,46,52,51,53,53,48,44,63
298043,5,4-6 mo,Male,Did not complete high school (no diploma),Black,south,69,17,13,13,12,10,11,10,10,32,53,32,43,40,43,34,30,34
318102,5,4-6 mo,Female,High school graduate (including GED),Black,midwest,133,28,32,21,21,18,20,21,21,69,71,69,68,67,69,66,68,50
318103,5,4-6 mo,Female,High school graduate (including GED),Black,midwest,157,19,25,28,26,23,27,28,24,71,57,60,71,71,71,71,71,54
